                     date     Pair         Open         High          Low        Close        12ema        26ema       200ema      macd  signal_line  macd_signal
2023-04-13 15:00:00+01:00 AUDUSD=X     0.677002     0.677231     0.676489     0.676558     0.673797     0.671851     0.668995  0.001946     0.001494          0.0
2023-04-13 14:00:00+00:00  BTC-USD 30198.933594 30274.615234 30195.763672 30266.603516 30182.670497 30115.191700 29068.554719 67.478798    51.976737          0.0
2023-04-13 10:00:00-04:00     BZ=F    86.779999    86.900002    86.709999    86.849998    86.969736    86.820255    83.889717  0.149481     0.255646          0.0
2023-04-13 10:00:00-04:00     ES=F  4129.000000  4139.250000  4127.000000  4136.750000  4127.636173  4128.631946  4116.963684 -0.995773    -2.836484          0.0
2023-04-13 14:00:00+00:00  ETH-USD  1994.217407  1999.557373  1993.349609  1999.086670  1967.828441  1941.716705  1881.934510 26.111736    18.609812          0.0
2023-04-13 15:00:00+01:00 EURCAD=X     1.479700     1.479750     1.477420     1.477720     1.476948     1.476015     1.472130  0.000933     0.000842          0.0
2023-04-13 15:00:00+01:00 EURCHF=X     0.981630     0.983530     0.981400     0.982570     0.982469     0.983555     0.987786 -0.001086    -0.000866          0.0
2023-04-13 15:00:00+01:00 EURGBP=X     0.883090     0.883310     0.882400     0.882840     0.881171     0.880539     0.878534  0.000632     0.000373          0.0
2023-04-13 15:00:00+01:00 EURJPY=X   146.203995   146.373993   146.149994   146.233002   146.441698   146.368045   144.893298  0.073653     0.120861          0.0
2023-04-13 15:00:00+01:00 EURUSD=X     1.107052     1.107052     1.105339     1.105583     1.102585     1.100304     1.092073  0.002280     0.001880          0.0
2023-04-13 15:00:00+01:00 GBPJPY=X   165.550003   165.766998   165.479996   165.699997   166.185838   166.213654   164.905864 -0.027816     0.069914          0.0
2023-04-13 15:00:00+01:00 GBPUSD=X     1.252630     1.252787     1.251580     1.252144     1.250864     1.249133     1.242573  0.001730     0.001613          0.0
2023-04-13 10:00:00-04:00     GC=F  2061.199951  2063.399902  2058.600098  2060.300049  2046.011772  2038.222351  2014.354362  7.789421     5.048719          0.0
2023-04-13 10:00:00-04:00     HG=F     4.133500     4.136000     4.121500     4.126000     4.102064     4.080246     4.034399  0.021818     0.017317          0.0
2023-04-13 10:00:00-04:00     NQ=F 13067.500000 13111.750000 13054.500000 13101.750000 13016.299108 13017.050110 13066.196383 -0.751002   -17.509029          0.0
2023-04-13 15:00:00+01:00 NZDUSD=X     0.629842     0.630120     0.629327     0.629485     0.625427     0.623600     0.623962  0.001827     0.001047          0.0
2023-04-13 10:00:00-04:00     PL=F  1054.900024  1055.900024  1053.199951  1055.500000  1040.103576  1032.411856  1011.160737  7.691720     5.501938          0.0
2023-04-13 10:00:00-04:00    RTY=F  1792.099976  1797.699951  1789.699951  1795.800049  1791.129866  1791.460040  1785.055893 -0.330175    -1.349418          0.0
2023-04-13 10:00:00-04:00     SI=F    26.065001    26.110001    25.955000    26.004999    25.799321    25.664293    24.847865  0.135029     0.103119          0.0
2023-04-13 15:00:00+01:00 USDCAD=X     1.337410     1.337750     1.336600     1.337400     1.340020     1.341902     1.348465 -0.001882    -0.001505          0.0
2023-04-13 15:00:00+01:00 USDCHF=X     0.887140     0.890030     0.887000     0.888980     0.891326     0.894181     0.904843 -0.002855    -0.002330          0.0
2023-04-13 15:00:00+01:00 USDJPY=X   132.139008   132.408997   132.119995   132.347000   132.863708   133.070351   132.729761 -0.206643    -0.117880          0.0
2023-04-13 10:00:00-04:00     YM=F 33804.000000 33868.000000 33794.000000 33851.000000 33832.351668 33839.304861 33609.704853 -6.953192   -10.393825          0.0
